File	Started job on	Started mapping on	Finished on	Mapping speed, Million of reads per hour	Number of input reads	Average input read length	Uniquely mapped reads number	Uniquely mapped reads %	Average mapped length	Number of splices: Total	Number of splices: Annotated (sjdb)	Number of splices: GT/AG	Number of splices: GC/AG	Number of splices: AT/AC	Number of splices: Non-canonical	Mismatch rate per base, %	Deletion rate per base	Deletion average length	Insertion rate per base	Insertion average length	Number of reads mapped to multiple loci	% of reads mapped to multiple loci	Number of reads mapped to too many loci	% of reads mapped to too many loci	Number of reads unmapped: too many mismatches	% of reads unmapped: too many mismatches	Number of reads unmapped: too short	% of reads unmapped: too short	Number of reads unmapped: other	% of reads unmapped: other	Number of chimeric reads	% of chimeric reads
HS1609_control_S12_R1_001.Log.final.out	Mar 25 22:06:36	Mar 25 22:18:59	Mar 25 22:27:11	178.98	24460147	75	16250359	66.44%	74.75	1948246	1944371	1927272	18619	1252	1103	0.44%	0.01%	1.51	0.01%	1.36	3667396	14.99%	16337	0.07%	0	0.00%	4477046	18.30%	49009	0.20%	0	0.00%
HS1609_GC_S13_R1_001.Log.final.out	Mar 25 22:18:44	Mar 25 22:32:26	Mar 25 22:41:05	202.31	29165640	75	17931830	61.48%	74.76	1861788	1857878	1832784	26786	1278	940	0.43%	0.01%	1.50	0.01%	1.36	3389754	11.62%	16815	0.06%	0	0.00%	7787903	26.70%	39338	0.13%	0	0.00%
HS1625_control_S3_R1_001.Log.final.out	Mar 25 21:49:57	Mar 25 22:03:57	Mar 25 22:12:43	212.97	31117334	75	23920715	76.87%	74.76	1816393	1810126	1798008	15544	1271	1570	0.45%	0.01%	1.55	0.01%	1.39	3583805	11.52%	24622	0.08%	0	0.00%	3514970	11.30%	73222	0.24%	0	0.00%
HS1625_Gc_S4_R1_001.Log.final.out	Mar 25 21:49:57	Mar 25 22:01:11	Mar 25 22:08:52	241.90	30976190	75	25849265	83.45%	74.76	1844162	1838392	1823051	18484	1393	1234	0.42%	0.01%	1.55	0.01%	1.38	3745047	12.09%	26992	0.09%	0	0.00%	1252219	4.04%	102667	0.33%	0	0.00%
HS1659_control_S14_R1_001.Log.final.out	Mar 25 22:09:13	Mar 25 22:21:35	Mar 25 22:28:52	220.02	26708425	75	21848402	81.80%	74.76	2358899	2353670	2334540	21796	1436	1127	0.43%	0.01%	1.53	0.01%	1.32	3524437	13.20%	22229	0.08%	0	0.00%	1260168	4.72%	53189	0.20%	0	0.00%
HS1659_GC_S15_R1_001.Log.final.out	Mar 25 21:49:57	Mar 25 22:01:15	Mar 25 22:08:08	207.82	23841627	75	15976165	67.01%	74.76	1587027	1583026	1569291	15587	1219	930	0.46%	0.01%	1.52	0.01%	1.30	3566541	14.96%	15007	0.06%	0	0.00%	4247574	17.82%	36340	0.15%	0	0.00%
HS1660_control_S16_R1_001.Log.final.out	Mar 25 22:00:13	Mar 25 22:17:37	Mar 25 22:29:30	136.20	26975261	75	9994727	37.05%	74.75	1205837	1203192	1192934	11431	803	669	0.45%	0.01%	1.47	0.01%	1.36	2927015	10.85%	9807	0.04%	0	0.00%	14018882	51.97%	24830	0.09%	0	0.00%
HS1660_GC_S17_R1_001.Log.final.out	Mar 25 21:49:57	Mar 25 22:00:39	Mar 25 22:06:33	236.42	23247578	75	17852883	76.79%	74.75	1997446	1992644	1975943	19228	1191	1084	0.45%	0.01%	1.51	0.01%	1.36	4634490	19.94%	19183	0.08%	0	0.00%	694405	2.99%	46617	0.20%	0	0.00%
HS16.Log.final.out	Mar 25 21:49:57	Mar 25 21:57:19	Mar 25 22:00:02	274.25	12417406	75	10721446	86.34%	74.79	1015063	1013018	1005011	8891	712	449	0.32%	0.02%	1.25	0.01%	1.43	1582874	12.75%	8875	0.07%	0	0.00%	82471	0.66%	21740	0.18%	0	0.00%
HS17.Log.final.out	Mar 25 22:23:32	Mar 25 22:31:33	Mar 25 22:34:19	263.55	12152669	75	9706563	79.87%	74.77	982468	980388	972423	8885	640	520	0.36%	0.02%	1.19	0.01%	1.40	2339873	19.25%	10633	0.09%	0	0.00%	77502	0.64%	18098	0.15%	0	0.00%
HS18.Log.final.out	Mar 25 21:49:57	Mar 25 21:57:20	Mar 25 21:59:56	309.95	13430964	75	10448712	77.80%	74.81	988282	986509	976085	11127	601	469	0.35%	0.02%	1.15	0.00%	1.40	2872463	21.39%	7717	0.06%	0	0.00%	83716	0.62%	18356	0.14%	0	0.00%
HS19.Log.final.out	Mar 25 22:20:01	Mar 25 22:28:03	Mar 25 22:31:02	229.91	11431735	75	9528433	83.35%	74.76	929741	927730	920930	7801	570	440	0.35%	0.02%	1.22	0.01%	1.40	1779211	15.56%	8846	0.08%	0	0.00%	97388	0.85%	17857	0.16%	0	0.00%
HS20.Log.final.out	Mar 25 21:49:57	Mar 25 21:58:06	Mar 25 22:01:21	240.73	13039441	75	7826861	60.02%	74.76	633285	631741	613216	19306	447	316	0.37%	0.02%	1.25	0.01%	1.41	5077708	38.94%	10090	0.08%	0	0.00%	87675	0.67%	37107	0.28%	0	0.00%
HS2100_control_S18_R1_001.Log.final.out	Mar 25 21:49:57	Mar 25 22:01:32	Mar 25 22:09:11	224.28	28595660	75	23306110	81.50%	74.76	2690461	2685516	2661513	25784	1876	1288	0.43%	0.01%	1.50	0.01%	1.35	4178988	14.61%	20177	0.07%	0	0.00%	1033703	3.61%	56682	0.20%	0	0.00%
HS2100_GC_S19_R1_001.Log.final.out	Mar 25 22:06:41	Mar 25 22:19:03	Mar 25 22:26:43	190.73	24371128	75	16342216	67.06%	74.76	1847088	1843427	1827533	17453	1145	957	0.45%	0.01%	1.49	0.01%	1.36	3483434	14.29%	13781	0.06%	0	0.00%	4492097	18.43%	39600	0.16%	0	0.00%
HS2191_control_S7_R1_001.Log.final.out	Mar 25 22:23:07	Mar 25 22:35:14	Mar 25 22:42:10	227.87	26331422	75	21348559	81.08%	74.79	2010485	2006192	1990882	17401	1316	886	0.43%	0.01%	1.51	0.01%	1.39	2959934	11.24%	18524	0.07%	0	0.00%	1959687	7.44%	44718	0.17%	0	0.00%
HS2191_GC_S8_R1_001.Log.final.out	Mar 25 21:49:57	Mar 25 21:59:49	Mar 25 22:04:35	293.26	23297721	75	19807088	85.02%	74.76	2016209	2012083	1995588	18108	1552	961	0.42%	0.01%	1.51	0.01%	1.36	2814256	12.08%	17934	0.08%	0	0.00%	617546	2.65%	40897	0.18%	0	0.00%
